Label,2,In English
New letter,Новое письмо,New letter
Test email,Тестовое сообщение,Test email
Email address #1,Адрес электронной почты #1,Email address #1
Email address #2,Адрес электронной почты #2,Email address #2
Email address #3,Адрес электронной почты #3,Email address #3
are_you_sure,Вы уверены?,Are you sure?
Email has been sent,Письмо было отправлено,Email has been sent
yes,Да,Yes
no,Нет,No
Browse our news,Посмотреть наши новости,Browse our news
All news,Все новости,All news
See full article,Смотреть полную статью,See full article
Read more,Читать дальше,Read more
Back to News mainpage,Вернуться к главной странице новостей,Back to News mainpage
Subscribe,Подписаться,Subscribe
Thank you for your subscription,Спасибо за подписку,Thank you for your subscription
Subscribe to our news here...,Подписаться на наши новости...,Subscribe to our news here...
Free shipping on orders over $100 (US only),Бесплатная доставка на заказы свыше $100 (только для США),Free shipping on orders over $100 (US only)
Email us,Напишите нам,Email us
You are already subscribed,Вы уже подписаны,You are already subscribed
First name,Имя,First name
Last name,Фамилия,Last name
Wishlist,Список желаний,Wishlist
Type your email first,Сначала введите Ваш email ,Type your email first
Add to wishlist,Добавить в список желаний,Add to wishlist
Product has been added to your Wishlist,Товар был добавлен в список желаний,Product has been added to your Wishlist
New user,Новый пользователь,New user
Clear wishlist,Очистить список желаний,Clear wishlist
Wishlist is empty,Список желаний пуст,Wishlist is empty
Your cart,Ваша корзина,Your cart
Password recovery,Восстановление пароля ,Password recovery
Our testimonials,Наши Отзывы,Our testimonials
Our blog,Наш блог,Our blog
Enter your coupon code here,Введите код купона здесь,Enter your coupon code here
Please enter your address,"Пожалуйста, введите Ваш адрес",Please enter your address
Your message,Ваше сообщение,Your message
Quicklook,Быстрый просмотр,Quicklook
Drop files here to upload.<br /><br />Or click to select,Перетащите сюда файлы для загрузки.<БР /><br />или выберите,Drop files here to upload.<br /><br />Or click to select
Products options,Варианты товаров ,Products options
Warehouses,Склады,Warehouses
Warehouse address,Адрес склада,Warehouse address
Warehouses description,Описание складов,Warehouses description
No warehouses defined,Склады не указаны,No warehouses defined
Warehouses invetory,Инвентаризация складов,Warehouses invetory
Warehouse,Склад,Warehouse
Avail,В наличии,Avail
Warehouses inventory,Инвентарь складов,Warehouses inventory
Warehouse code,Код склада,Warehouse code
Local pickup(free shipping),Самовывоз (бесплатная доставка),Local pickup(free shipping)
No shipping methods to your location available,Нет доступных способов доставки в ваш город,No shipping methods to your location available
Choose warehouse,Выберите склад,Choose warehouse
Open in map,Открыть на карте,Open in map
Orders,Заказы,Orders
Order invoice,Счет-фактура заказа,Order invoice
Update warehouses,Обновить склады,Update warehouses
Local pickup from,Самовывоз из,Local pickup from
Local pickup,Самовывоз,Local pickup
Your sitemap successfully generated,Карта сайта успешно сгенерирована,Your sitemap successfully generated
Ordered amount,Сумма заказа,Ordered amount
Zones,Зоны,Zones
Detination zones,Зоны пунктов назначения,Detination zones
Site title,,
Site description,,
User,Пользователь,User
newss,новости,newss
Buy with one click,Купить в один клик,Buy with one click
Enter your phone number,Введите свой номер телефона,Enter your phone number
We will contact you soon,Мы свяжемся с вами в ближайшее время,We will contact you soon
"Please, allow us a few minutes to receive your request","Пожалуйста, дайте нам несколько минут для получения вашего запроса","Please, allow us a few minutes to receive your request"
Someone interesting in your product,Кто-то заинтересовался вашим товаром,Someone interesting in your product
You can require quick sale not more than once per 10 seconds,Вы можете запрашивать быструю продажу не чаще одного раза в 10 секунд,You can require quick sale not more than once per 10 seconds
Products variants images,Изображения вариантов продукции,Products variants images
Reviews,Отзывы,Reviews
Add review,Добавить отзыв,Add review
"Please, enter your name and message","Пожалуйста, введите ваше имя и сообщение","Please, enter your name and message"
Rating,Рейтинг,Rating
Captcha is incorrect,Captcha неверна,Captcha is incorrect
Your review has been sent to moderation,Ваш отзыв отправлен на модерацию,Your review has been sent to moderation
New review,Новый отзыв,New review
posted new review,опубликован новый отзыв,posted new review
Search for reviews',Поиск отзывов',Search for reviews'
Status',Статус',Status'
Pending',На рассмотрении',Pending'
Approved',Одобрен',Approved'
Declined',Отклонено',Declined'
All',Все',All'
IP Address',IP-адрес',IP Address'
Name',Имя',Name'
Message',Сообщение',Message'
Product ID',ID товара',Product ID'
SKU',SKU',SKU'
Rating',Рейтинг',Rating'
Search for reviews,Поиск отзывов,Search for reviews
Declined,Отклонено,Declined
IP Address,IP-адрес,IP Address
Product ID,ID товара,Product ID
IP,IP,IP
Product ID/SKU,ID товара/SKU,Product ID/SKU
Delete_selected',Delete_selected',Delete_selected'
Reviews updated.,Отзывы обновлены.,Reviews updated.
You has been successfully registered on our site,Вы успешно зарегистрировались на нашем сайте,You has been successfully registered on our site
Registration completed,Регистрация завершена,Registration completed
This operation will delete selected reviews.,В результате этой операции выбранные отзывы будут удалены.,This operation will delete selected reviews.
Selected reviews deleted.,Выбранные отзывы удалены.,Selected reviews deleted.
Recently you left products in your cart on our site,Недавно вы оставили товары в корзине на нашем сайте,Recently you left products in your cart on our site
Narrow selection,Ограниченный выбор,Narrow selection
Price range,Диапазон цен,Price range
Import fields,Импортировать поля,Import fields
Support desk settings,Настройки службы поддержки,Support desk settings
Customer email,Электронная почта клиента,Customer email
During date period,В течение периода времени,During date period
Specify period below,Укажите период ниже,Specify period below
Search period,Искать период,Search period
Reset,Сбросить,Reset
Results found,Результаты найдены,Results found
Displaying,Отображение,Displaying
results,результатов,results
Messages,Сообщения,Messages
Ticket ID,ID тикета,Ticket ID
Unread tickets,Непрочитанные тикеты,Unread tickets
Open,Открытые,Open
Closed,Закрытые,Closed
Waiting for consultant,Ожидание консультанта,Waiting for consultant
Waiting for client,Ожидание клиента,Waiting for client
Cancelled,Отменен,Cancelled
Search for tickets,Поиск тикетов,Search for tickets
Ticket priority,Приоритет тикетов,Ticket priority
Ticket contact us,Связаться с нами по тикету,Ticket contact us
Ticket product,Товар тикета,Ticket product
Ticket topic,Тема тикета,Ticket topic
Ticket mailbox,Почтовый ящик для тикетов,Ticket mailbox
lbl_tickets,Тикеты,Tickets
lbl_ticket,Тикет,Ticket
lbl_tickets_management,Управление тикетами,Tickets management
lbl_create_ticket,Создать тикет,Create ticket
lbl_search_for_tickets,Поиск тикетов,Search for tickets
lbl_ticket_open,Открытые,Open
lbl_ticket_closed,Закрытые,Closed
lbl_ticket_scheduled,Запланированные,Scheduled
lbl_ticket_deleted,Тикет был успешно удален,Ticket has been successfully deleted
lbl_ticket_info,Информация о тикете,Ticket info
lbl_ticket_contact_us,Свяжитесь с нами,Contact Us
lbl_ticket_topic,Тема,Topic
eml_ticket_posted_subj,Новый тикет,New ticket
eml_ticket_message_posted_subj,eml_ticket_message_posted_subj,eml_ticket_message_posted_subj
eml_ticket_posted,Для вас опубликован новый тикет. Новый идентификационный номер - #{{ticketid}}.,A new ticket posted for you. A new identification number is #{{ticketid}}.
lbl_unread_tickets,Тикеты с новыми сообщениями,Tickets with new messages
lbl_all_tickets,Все тикеты,All tickets
lbl_ticket_priority_1,Может подождать,Can wait
lbl_ticket_priority_2,Нормальный,Normal
lbl_ticket_priority_3,Высокий,High
lbl_ticket_priority_4,Экстренный,Hot Rush
txt_tickets_management,Эта страница позволяет вам искать все тикеты в вашем магазине.,This page allow you to search for all tickets in your store.
lbl_no_tickets_found,Для заданного условия тикеты не найдены.,No tickets found for the defined condition.
lbl_ticket_mailbox,Почтовый ящик,Mailbox
txt_create_ticket,На этой странице вы можете создать новый тикет.,This page allow you to create a new ticket.
txt_modify_ticket,Эта страница позволяет обновить существующий тикет.,This page allow you to update existing ticket.
lbl_no_tickets,У вас нет тикетов.,You have no tickets.
err_ticket_message_subject,"Пожалуйста, введите тему и сообщение.","Please, enter your subject and message."
err_ticket_message,"Пожалуйста, введите ваше сообщение.","Please, enter your message."
lbl_new_ticket,Новый тикет,New ticket
lbl_ticket_priority,Приоритет,Priority
err_ticket_login_empty,"Пожалуйста, введите ваш email и номер билета.","Please, enter your email and ticket #."
lbl_ticket_product,Товар,Product
err_ticket_all_fields,"Пожалуйста, введите свой email, тему и сообщение.","Please, enter your email, subject and message."
lbl_ticket_upload_files,Загрузить файлы,Upload files
lbl_full_ticket,"Чтобы увидеть полный текст тикета, пожалуйста, перейдите по ссылке","To see full ticket, please, follow here"
lbl_ticket_subject,Тема,Subject
lbl_ticket_message,Сообщение,Message
eml_new_ticket,Новый тикет #{{ticketid}},New ticket #{{ticketid}}
No tickets found,Тикеты не найдены,No tickets found
Ticket,Тикет,Ticket
New ticket,Новый тикет,New ticket
Create ticket,Создать тикет,Create ticket
No such ticket,Нет такого тикета,No such ticket
Ticket info,Информация о тикете,Ticket info
Ticket subject,Тема тикета,Ticket subject
Ticket message,Сообщение тикета,Ticket message
Ticket messages,Сообщения тикета,Ticket messages
Select ticket category,Выберите категорию тикета,Select ticket category
You have already one Open ticket. You cannot post more till it processed.,"У вас уже есть один открытый тикет. Вы не можете опубликовать еще один, пока он не будет обработан.",You have already one Open ticket. You cannot post more till it processed.
You have no access to this ticket,У вас нет доступа к этому билету,You have no access to this ticket
lbl_ticket_task,задание,task
You can have only one open ticket at a time. Please close or cancel the open ticket to create a new one.,"Одновременно у вас может быть только один открытый тикет. Пожалуйста, закройте или отмените открытый тикет, чтобы создать новый.",You can have only one open ticket at a time. Please close or cancel the open ticket to create a new one.
New estimate request,Новый запрос на расчет сметы,New estimate request
Back to search results,Вернуться к результатам поиска,Back to search results
Admin notes,Заметки администратора,Admin notes
lbl_attached_files,lbl_attached_files,lbl_attached_files
lbl_delete_all_messages,lbl_delete_all_messages,lbl_delete_all_messages
Add/Edit,Добавить/редактировать,Add/Edit
Upload files,Загрузить файлы,Upload files
Delete all messages,Удалить все сообщения,Delete all messages
You need to be subscribed to access AX prime dashboard.,"Чтобы получить доступ к приборной панели AX prime, необходимо подписаться.",You need to be subscribed to access AX prime dashboard.
AX prime dashboard,Приборная панель AX prime,AX prime dashboard
Actions,Действия,Actions
new messages,новые сообщения,new messages
Are you sure?,Вы уверены?,Are you sure?
Close,Закрыть,Close
Cancel subscription,Отменить подписку,Cancel subscription
Subscribe again,Подписаться снова,Subscribe again
Select version,Выберите версию,Select version
"Please, select all categories, enter your subject and message","Пожалуйста, выберите все категории, введите тему и сообщение","Please, select all categories, enter your subject and message"
Create request,Создать запрос,Create request
Request information,Запросить информацию,Request information
lbl_post_new_message,lbl_post_new_message,lbl_post_new_message
Send message,Отправить сообщение,Send message
Attached files,Прикрепленные файлы,Attached files
Post new message,Опубликовать новое сообщение,Post new message
Captcha is incorrect.,Captcha неверна.,Captcha is incorrect.
lbl_reply_above_here,":: Ответьте ПЕРЕД ЭТОЙ СТРОКОЙ, чтобы оставить комментарий к тикету ::",:: Reply ABOVE THIS LINE to post a comment to the ticket ::
You need to be logged in to access this page,"Вы должны войти в систему, чтобы получить доступ к этой странице",You need to be logged in to access this page
"Ticket created. Please, wait our answer to your email.","Тикет создан. Пожалуйста, дождитесь ответа на ваше письмо.","Ticket created. Please, wait our answer to your email."
Ask a question about this product,Задать вопрос об этом товаре,Ask a question about this product
Our answer,Наш ответ,Our answer
Replied Message,Ответ на сообщение,Replied Message
"Invalid form token. Please, try once again.","Неверный токен формы. Пожалуйста, попробуйте еще раз.","Invalid form token. Please, try once again."
Gift Cards,Подарочные Карты,Gift Cards
Earlier purchased gift cards,Ранее приобретенные подарочные карты,Earlier purchased gift cards
Enter your Gift Card code here,Введите код для подарочной карты здесь,Enter your Gift Card code here
Gift Card,Подарочная Карта,Gift Card
You will see the Gift Card key phrase on paid invoice,Вы увидите фразу-пароль для подарочной карты в оплаченной счет-фактуре,You will see the Gift Card key phrase on paid invoice
Paid with Gift Card,Оплачено подарочной картой,Paid with Gift Card
Have a Gift Card?,Есть подарочная карта?,Have a Gift Card?
Download PDF invoice,Скачать счет-фактуру в PDF,Download PDF invoice
Gift Card key phrase,Фраза-пароль для подарочной карты,Gift Card key phrase
Get in touch with us,Свяжитесь с нами,Get in touch with us
Phone #2,Телефон #2,Phone #2
Fax,Факс,Fax
Quick links,Быстрые ссылки,Quick links
Home page,Домашняя страница,Home page
Browse our blog,Посмотрите наш блог,Browse our blog
See blog,Посмотреть блог,See blog
All blogs,Все блоги,All blogs
See full blog,Посмотреть весь блог,See full blog
SPA-Cart,SPA-корзина,SPA-Cart
This clean URL already exist for another product.,Этот чистый URL-адрес уже существует для другого товара.,This clean URL already exist for another product.
Variants has been added.,Варианты были добавлены.,Variants has been added.
"Clean URL should contain only letters and numbers and be not more 250 characters length. Allowed symbols: ""-"", ""_"", ""."". Also it should be without "".html"".","Чистый URL должен содержать только буквы и цифры и быть не длиннее 250 символов. Разрешенные символы: ""-"", ""_"", ""."". Также он должен быть без "".html"".","Clean URL should contain only letters and numbers and be not more 250 characters length. Allowed symbols: ""-"", ""_"", ""."". Also it should be without "".html""."
Root,Корень,Root
You cannot define the same product as related product.,Вы не можете определить один и тот же товар как похожий.,You cannot define the same product as related product.
Such related productid already added to this product.,ID похожего товара уже добавлен к этому товару.,Such related productid already added to this product.
New testimonial is here,Новый отзыв здесь,New testimonial is here
Enter 3 characters,Введите 3 символа,Enter 3 characters
Enter 2 characters,Введите 2 символа,Enter 2 characters
Blog not found,Блог не найден,Blog not found
Currencies,Валюты,Currencies
Currencies management,Управление валютами ,Currencies management
Currency code,Код валюты,Currency code
Rate,Курс,Rate
Main,Главная,Main
Symbol,Символ,Symbol
Languages,Языки,Languages
Homepage meta title,Мета-заголовок домашней страницы,
Language,Язык,Language
Homepage meta keywords,Ключевые слова мета-заголовка домашней страницы,
Homepage meta description,Мета-описание домашней страницы,
Recently viewed,Недавно просмотренные,Recently viewed
Unable to redirect to Stripe,Невозможно переадресовать на Stripe,Unable to redirect to Stripe
"Please, wait we are connecting you to Stripe","Пожалуйста, подождите, мы соединяем вас с Stripe","Please, wait we are connecting you to Stripe"
Favorite,Избранное,Favorite
Enter at least 2 characters,Введите не менее 2 символов,Enter at least 2 characters
Free call,Бесплатный звонок,Free call
FREE SHIPPING & RETURN,БЕСПЛАТНАЯ ДОСТАВКА И ВОЗВРАТ,FREE SHIPPING & RETURN
Free shipping on all orders over $99,Бесплатная доставка на все заказы от $99,Free shipping on all orders over $99
MONEY BACK GUARANTEE,ГАРАНТИЯ ВОЗВРАТА СРЕДСТВ,MONEY BACK GUARANTEE
For all orders created in below 30 days,"Для всех заказов, созданных менее чем 30 дней назад",For all orders created in below 30 days
ONLINE SUPPORT 24/7,ОНЛАЙН ПОДДЕРЖКА 24/7,ONLINE SUPPORT 24/7
Any time any place,В любое время в любом месте,Any time any place
We use cookies for better user experience,Мы используем файлы cookie для улучшения пользовательского опыта,We use cookies for better user experience
Accept,Принять,Accept
